Recovery Year, Reporting Agency, Sampling Agency,State,Region, Detection Method, PSC Fishery, Fis-Gear, RMIS Region, SUM Observed, SUM Estimated
2010,ODFW,ODFW,OR,OR,Visual,Estuary Sport,Estuary Sport,SOOR,52,52.7
2010,ODFW,ODFW,OR,CR,Electronic,Columbia River Gillnet,Columbia River Gillnet,CECR,1807,9557.87
2010,ODFW,ODFW,OR,CR,Visual,Fish Trap (freshwater),Fish Trap,SNAK,694,700.77
2010,ODFW,ODFW,OR,OR,Visual,Freshwater Seine,River Seine (non-Columbia),SOOR,3,3
2010,ODFW,ODFW,OR,OR,Visual,Freshwater Sport,Elk River Sport,SOOR,162,489.06
2010,ODFW,ODFW,OR,CR,Electronic,Freshwater Sport,Deschutes River Sport,CECR,230,
2010,ODFW,ODFW,OR,OR,Visual,Freshwater Sport,Freshwater Sport,NOOR,1,1
2010,ODFW,ODFW,OR,CR,Visual,Freshwater Sport,Freshwater Sport,SNAK,22,22
2010,ODFW,ODFW,OR,OR,Visual,Freshwater Sport,Freshwater Sport,SOOR,186,513.06
2010,ODFW,ODFW,OR,CR,Visual,Columbia River Gillnet,Columbia River Gillnet,CECR,1465,6962.45
2010,ODFW,ODFW,OR,OR,Visual,Freshwater Sport,Salmon River Sport,NOOR,262,1645.32
2010,ODFW,ODFW,OR,CR,Visual,Fish Trap (freshwater),Fish Trap,CECR,1111,1111.01
2010,ODFW,ODFW,OR,OR,Visual,Hatchery,ODFW Hatcheries,NOOR,301,303.81
2010,ODFW,ODFW,OR,OR,Visual,Hatchery,ODFW Hatcheries,SOOR,1339,1373.51
2010,ODFW,ODFW,OR,CR,Visual,Freshwater Sport,Freshwater Sport,CECR,3,
2010,ODFW,ODFW,OR,CR,Visual,Freshwater Sport,Mid-Columbia River Sport,CECR,67,39
2010,ODFW,ODFW,OR,CR,Visual,Hatchery,Other Oregon Hatcheries,UPCR,38,38
2010,ODFW,ODFW,OR,OR,Visual,Ocean Sport,Ocean Sport,NOOR,105,298.12
2010,ODFW,ODFW,OR,OR,Visual,Ocean Sport,Ocean Sport,SOOR,40,99.41
2010,ODFW,ODFW,OR,OR,Visual,Ocean Troll (non-treaty),Ocean Troll,NOOR,935,2553.55
2010,ODFW,ODFW,OR,OR,Visual,Ocean Troll (non-treaty),Ocean Troll,SOOR,197,706.61
2010,ODFW,ODFW,OR,CR,Visual,Hatchery,ODFW Hatcheries,CECR,745,752.45
2010,ODFW,ODFW,OR,CR,Visual,Hatchery,Other Oregon Hatcheries,CECR,422,422
2010,ODFW,ODFW,OR,OR,Visual,Spawning Ground,Spawning Ground Survey,NOOR,140,1282.4
2010,ODFW,ODFW,OR,CR,Visual,Spawning Ground,Spawning Ground Survey,SNAK,1094,1114.57
2010,ODFW,ODFW,OR,OR,Visual,Spawning Ground,Spawning Ground Survey,SOOR,130,776.66
2010,ODFW,ODFW,OR,CR,Visual,Spawning Ground,Spawning Ground Survey,UPCR,2,2
2010,ODFW,ODFW,OR,CR,Visual,Spawning Ground,Spawning Ground Survey,CECR,22,23.04
