Recovery Year, Reporting Agency, Sampling Agency,State,Region, Detection Method, PSC Fishery, Fis-Gear, RMIS Region, SUM Observed, SUM Estimated
2010,ODFW,ODFW,OR,OR,Visual,Spawning Ground,Spawning Ground Survey,SOOR,2,2.06
2010,QDNR,QDNR,WA,WA,Electronic,Coastal Gillnet,Unspecified,GRAY,136,433.21
2010,QDNR,QDNR,WA,WA,Electronic,Coastal Gillnet,Unspecified,NWC,2575,10089.95
2010,QDNR,QDNR,WA,WA,Electronic,Hatchery,Unspecified,NWC,410,1357.1
2010,QDNR,QDNR,WA,WA,Electronic,Spawning Ground,Unspecified,NWC,2,
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Escapement,CECR,72,74.16
2010,USFWS,USFWS,WA,WA,Electronic,Hatchery,Escapement,HOOD,2686,3024.48
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Escapement,LOCR,362,365.62
2010,USFWS,USFWS,WA,WA,Electronic,Hatchery,Escapement,NWC,3410,12684.26
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery,CECR,36,37.08
2010,USFWS,USFWS,WA,WA,Electronic,Hatchery,Hatchery,HOOD,1343,1512.24
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery,LOCR,181,182.81
2010,USFWS,USFWS,WA,WA,Electronic,Hatchery,Hatchery,NWC,1705,6342.13
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery Rack,CECR,36,37.08
2010,USFWS,USFWS,WA,WA,Electronic,Hatchery,Hatchery Rack,HOOD,1343,1512.24
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery Rack,LOCR,181,182.81
2010,USFWS,USFWS,WA,WA,Electronic,Hatchery,Hatchery Rack,NWC,1705,6342.13
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery Returns,CECR,72,74.16
2010,USFWS,USFWS,WA,WA,Electronic,Hatchery,Hatchery Returns,HOOD,2686,3024.48
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery Returns,LOCR,362,365.62
2010,USFWS,USFWS,WA,WA,Electronic,Hatchery,Hatchery Returns,NWC,3410,12684.26
2010,WDFW,QUIL,WA,WA,Electronic,Coastal Gillnet,Mixed Gillnet,NWC,490,2801.53
2010,WDFW,WDFW,WA,WA,Electronic,Coastal Gillnet,Non-treaty Drift Gillnet,GRAY,66,108.81
2010,WDFW,WDFW,WA,WA,Electronic,Coastal Gillnet,Non-treaty Drift Gillnet,WILP,356,1558.24
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,JUAN,147,486.64
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,MPS,65,199.32
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,NOWA,3,9.24
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,NPS,23,104.53
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,SKAG,4,4.16
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,SPS,1,
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,WAGN,1,2.08
2010,WDFW,SRSC,WA,WA,Electronic,Fish Trap (freshwater),Fish Trap,SKAG,175,363.84
2010,WDFW,WDFW,WA,WA,Electronic,Fish Trap (freshwater),Fish Trap,GRAY,477,2698.73
2010,WDFW,WDFW,WA,WA,Electronic,Fish Trap (freshwater),Fish Trap,HOOD,6,361.99
2010,WDFW,WDFW,WA,CR,Electronic,Fish Trap (freshwater),Fish Trap,LOCR,1,
2010,WDFW,WDFW,WA,WA,Electronic,Fish Trap (freshwater),Spawning Ground,HOOD,1,13.91
2010,WDFW,WDFW,WA,CR,Electronic,Freshwater Sport,Freshwater Sport,CECR,2,12
2010,WDFW,WDFW,WA,WA,Electronic,Freshwater Sport,Freshwater Sport,GRAY,15,171.93
2010,WDFW,WDFW,WA,CR,Electronic,Freshwater Sport,Freshwater Sport,LOCR,74,27.6
2010,WDFW,WDFW,WA,WA,Electronic,Freshwater Sport,Freshwater Sport,MPS,1,1.64
2010,WDFW,WDFW,WA,WA,Electronic,Freshwater Sport,Freshwater Sport,SKAG,25,98.04
2010,WDFW,WDFW,WA,WA,Electronic,Freshwater Sport,Freshwater Sport,SPS,3,0
2010,WDFW,WDFW,WA,WA,Electronic,Freshwater Sport,Freshwater Sport,WILP,1,0
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,GRAY,4881,10518.48
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,HOOD,650,650
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,JUAN,65,68.68
2010,WDFW,WDFW,WA,CR,Electronic,Hatchery,Hatchery,LOCR,6335,8708.79
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,MPS,548,1190.39
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,NOWA,692,692
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,NPS,542,1716.46
